JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
122.47;112.1;136.1;93.85;112.7;91.05;133.9;119.45;120.85;119.65;106.3;116.5
112.65;96.55;113.95;86.2;103.7;87.75;68.25;138.25;94.3;77.3;150.05;95.45
100.4;150;135.6;103.6;100.6;100.8;114.45;146.4;142.75;106.4;125.2;108.2
109.6;117.23;72.55;105.85;86.95;93.95;112.5;134.6;153.85;125;132.15;152.25
120.55;139.9;142.5;96.1;100;68.8;117.9;163.7;173.05;156.9;111.6;123.15
96.6;119.75;113.25;101.15;98.05;79.1;104.15;167.5;150.2;121.65;135.2;160.75
198.85;181.55;139.7;106.8;111.6;104.7;112.95;154;154.7;194.5;130.2;169.1
162.85;111.85;97.35;112.15;96.75;114.3;105.1;159.5;135.9;123.3;94.6;137.6
124.05;128.15;111.35;163.55;89.55;81.8;148.55;131.7;0;0;0;0
