JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
263.2;218.7;74.6;121.8;56.9;73.5;0.4;88.8;42;145.6;112815.0;256.3
233.9;219.23;245.9;52.3;56.2;41.7;200;50.5;202.9;138;234.4;208.6
653.2;394;147.6;130.4;81.1;12.7;89.6;3.7;96.7;76.6;159.2;280.6
466.3;327.6;91.4;102.3;23.6;65.4;12.2;65.2;4.3;175.7;110.8;235.7
332.8;255.2;150.2;176.6;49.2;191.4;88;1.8;22;91.7;163;345
187.7;281.4;191.1;91.8;40.1;130.3;82.5;10.1;103.9;108.8;201.7;72.1
199.3;81.1;224.2;91.7;64.6;27.4;36.7;37.8;63.8;25.4;151.6;213.2
262.1;283.4;204.2;50.1;57.9;32;119.1;24.5;217.7;97.8;307.8;172.8
168.5;330.1;193.8;2.8;151.5;179.6;7.4;73.3;0.0;0.0;0.0;0.0
