JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
516.7;453.9;519.7;400.2;390.7;313.8;454.9;405.6;156.0;474.6;534.6;603.7
535.7;487.3;507.0;427.1;391.8;339.5;277.9;433.1;359.0;451.3;583.6;536.6
506.7;556.0;527.0;437.3;401.0;378.4;369.4;450.2;413.4;531.5;560.8;546.1
538.9;495.5;395.0;443.3;382.7;381.2;359.3;424.1;558.7;536.5;623.8;580.7
572.5;579.2;585.4;412.7;388.9;272.1;393.0;551.8;511.4;589.9;556.8;584.7
477.8;520.0;493.3;429.1;364.2;290.1;356.5;490.8;473.9;501.9;551.2;685.0
732.5;588.5;531.3;430.2;356.3;329.0;350.1;469.6;507.6;638.8;576.0;656.3
670.0;506.3;488.8;421.0;343.7;340.1;333.6;500.8;431.9;536.2;485.2;578.0
596.3;556.3;527.0;499.0;340.6;352.5;430.7;432.9;0.0;0.0;0.0;0.0
