JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
66.5;62.55;75.65;52.3;28;55.25;81.8;71.75;67.55;68.8;61.1;70.85
66.15;59.6;65.35;52.7;61.25;51.3;37.7;75.8;55.4;46.9;77.4;57.7
59.9;83.15;75.35;62.25;58.85;61;64.7;80.4;77.35;57.25;70;57.9
61.35;63.4;43.2;59;50.65;52.1;58.05;73.5;77.3;70.1;65.9;80.5
64.05;75.7;74.75;54.2;28.3;19.85;15.8;65;87.95;85.55;62.05;74.25
54.75;67.05;61.65;55.25;55.7;45.85;58.4;85.7;76.45;67.5;49.1;82.5
90.8;96.6;69.3;30.5;11.8;52.85;67.9;46.85;90.05;110.55;77.1;105.1
100.05;63.2;60.95;57.3;57.95;67.85;67.25;95.5;85.45;77.9;58.3;83.9
76.15;80.15;71;100.6;53.85;44.4;88.1;77.05;0;0;0;0
