JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
82.20 ;82.15 ;79.94 ;82.03 ;78.06 ;81.73 ;73.90 ;78.45 ;78.62 ;81.66 ;81.86 ;80.27 
82.24 ;82.24 ;81.66 ;82.64 ;80.66 ;81.24 ;86.56 ;76.70 ;83.53 ;86.09 ;79.89 ;84.31 
83.97 ;77.42 ;80.58 ;81.80 ;81.70 ;79.47 ;79.72 ;75.07 ;76.90 ;82.54 ;80.10 ;84.06 
83.39 ;80.72 ;86.89 ;81.74 ;82.66 ;81.06 ;79.33 ;77.28 ;76.73 ;80.04 ;79.25 ;78.55 
82.36 ;78.69 ;78.98 ;83.57 ;82.15 ;86.10 ;77.66 ;74.30 ;74.50 ;77.18 ;81.41 ;80.76 
84.67 ;80.52 ;82.60 ;81.86 ;81.72 ;84.75 ;81.89 ;74.33 ;76.42 ;80.06 ;79.66 ;78.35 
74.93 ;72.82 ;80.86 ;82.01 ;81.37 ;80.67 ;79.03 ;74.20 ;76.25 ;72.81 ;80.39 ;77.17 
77.44 ;81.49 ;84.02 ;83.09 ;83.70 ;81.03 ;80.80 ;72.72 ;78.20 ;80.58 ;85.28 ;80.87 
80.87 ;80.17 ;83.30 ;74.88 ;83.24 ;84.45 ;73.60 ;77.85 ;0.00 ;0.00 ;0.00 ;0.00 
